Comment,Designator,Footprint,LCSC,Quantity
1u,C6,CP_Radial_D5.0mm_P2.50mm,,1
NMJ6HFD2,J4,NMJ6HFD2,,1
68k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330p,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
22k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
68k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1u,C5,CP_Radial_D5.0mm_P2.50mm,,1
68k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330p,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
330p,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
68k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330p,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C8,CP_Radial_D5.0mm_P2.50mm,,1
LM4562-M,U3,SOIC-8_3.9x4.9mm_P1.27mm,,1
68k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Neutrik NMJ6HFD2,J5,NMJ6HFD2,,1
NE5532,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
10u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
22k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
68k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1u,C4,CP_Radial_D5.0mm_P2.50mm,,1
1u,C3,CP_Radial_D5.0mm_P2.50mm,,1
22k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330p,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
68k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
NMJ6HFD2,J3,NMJ6HFD2,,1
INPUTS,J1,SHDRRA12W65P254_2X6_1758X1090X1005P,,1
1u,C7,CP_Radial_D5.0mm_P2.50mm,,1
10u,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
330p,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
22k,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
330p,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
NMJ6HFD2,J2,NMJ6HFD2,,1
22k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
NE5532,U2,SOIC-8_3.9x4.9mm_P1.27mm,,1
LM4562-M,U1,SOIC-8_3.9x4.9mm_P1.27mm,,1
330p,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
68k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1u,C2,CP_Radial_D5.0mm_P2.50mm,,1
1u,C1,CP_Radial_D5.0mm_P2.50mm,,1
