Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603,34.3154,-13.97,-90.0,top
C10,10u,C_0805,5.6134,-32.6644,180.0,top
C11,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.1688,-17.0942,0.0,bottom
C12,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.5376,-13.3604,270.0,bottom
C13,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.3588,-7.9756,270.0,bottom
C14,100n,C_0603,28.2702,-32.5628,180.0,top
C15,100n,C_0603,25.4,-87.5538,-90.0,top
C16,1u,C_0603,21.3868,-87.5538,90.0,top
C17,100n,C_0603,26.924,-72.7202,-90.0,top
C18,1u,C_0603,21.2598,-73.1012,90.0,top
C19,100n,C_0603,43.6372,-88.9508,90.0,top
C2,10u,C_0805,47.4472,-38.3286,180.0,top
C20,10u,C_0805,46.7106,-88.7222,-90.0,top
C21,100n,C_0603,43.6118,-74.8792,90.0,top
C22,10u,C_0805,46.7868,-74.6252,-90.0,top
C23,1u,C_0603,39.3192,-98.8314,90.0,top
C24,1u,C_0603,39.6494,-82.55,90.0,top
C25,10u,C_0805,19.9644,-79.1464,-90.0,top
C26,100n,C_0603,23.9522,-79.3242,90.0,top
C27,10u,C_0805,18.3642,-94.869,-90.0,top
C28,100n,C_0603,27.813,-94.9452,90.0,top
C29,100n,C_0603,24.8666,-54.7624,-90.0,top
C3,1u,C_0603,8.4582,-80.6704,0.0,top
C30,1u,C_0603,19.304,-54.7878,90.0,top
C31,100n,C_0603,29.337,-36.2712,90.0,top
C32,1u,C_0603,20.9804,-37.8026,90.0,top
C33,100n,C_0603,43.6118,-58.7248,90.0,top
C34,10u,C_0805,46.736,-58.6232,-90.0,top
C35,100n,C_0603,43.5864,-42.3926,90.0,top
C36,10u,C_0805,46.6598,-42.2656,-90.0,top
C37,1u,C_0603,39.4208,-65.8876,90.0,top
C38,1u,C_0603,39.37,-49.7332,90.0,top
C39,10u,C_0805,19.2786,-59.7408,-90.0,top
C4,1u,C_0603,52.3494,-78.4606,180.0,top
C40,100n,C_0603,24.257,-62.1538,90.0,top
C41,10u,C_0805,20.9804,-43.4086,-90.0,top
C42,100n,C_0603,25.8064,-43.7642,90.0,top
C5,10u,C_0805,48.9458,-47.1932,180.0,top
C6,1u,C_0603,52.3494,-80.5688,0.0,top
C7,1u,C_0603,8.509,-78.3844,0.0,top
C8,10u,C_0805,43.8404,-3.4036,90.0,top
C9,10u,C_0805,55.7276,-26.162,0.0,top
IC1,SN74LVC1G04DBVR-MS,SOT-23-5,24.8666,-16.764,0.0,top
IC2,PCA9546APWR,SOP65P640X120-16N,35.687,-31.4198,180.0,top
IC3,TLV320AIC3104IRHBR,QFN50P500X500X100-33N-D,37.8714,-92.0242,-45.0,top
IC4,TLV320AIC3104IRHBR,QFN50P500X500X100-33N-D,37.8714,-75.7682,-45.0,top
IC5,TLV320AIC3104IRHBR,QFN50P500X500X100-33N-D,37.8714,-59.563,-45.0,top
IC6,TLV320AIC3104IRHBR,QFN50P500X500X100-33N-D,37.886472,-43.230705,-45.0,top
R1,47,R_0603,14.9098,-18.7706,-90.0,top
R10,6k8,R_0603,15.4686,-29.7942,0.0,top
R11,6k8,R_0603,21.4884,-96.5454,-90.0,top
R12,6k8,R_0603,28.194,-63.8302,-90.0,top
R13,6k8,R_0603,29.718,-45.3136,-90.0,top
R14,6k8,R_0603,15.4686,-32.3342,0.0,top
R15,6k8,R_0603,15.4686,-34.925,0.0,top
R2,47,R_0603,11.1252,-16.891,-90.0,top
R3,47,R_0603,30.2514,-15.1892,-90.0,top
R4,3k3,R_0603,48.9458,-22.0472,0.0,top
R5,0Ω,R_0805,31.225,-20.475,180.0,top
R6,3k3,R_0603,33.5788,-36.0426,180.0,top
R7,0Ω,R_0805,36.975,-20.45,180.0,top
R8,6k8,R_0603,24.0792,-96.5454,-90.0,top
R9,6k8,R_0603,15.3924,-27.2796,0.0,top
U1,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,55.9308,-16.3826,-90.0,top
U2,AMS1117-1.8,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,4.6228,-39.5228,90.0,top
