Comment,Designator,Footprint,LCSC,Quantity
470k,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
NC3FAAH-0,J5,Jack_XLR_Neutrik_NC3FAAH-0_Horizontal,,1
470k,R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
10uF,C8,CP_Radial_D6.3mm_P2.50mm,,1
10uF,C5,CP_Radial_D6.3mm_P2.50mm,,1
10uF,C7,CP_Radial_D6.3mm_P2.50mm,,1
470k,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
10uF,C3,CP_Radial_D6.3mm_P2.50mm,,1
10uF,C6,CP_Radial_D6.3mm_P2.50mm,,1
NC3FAAH-0,J2,Jack_XLR_Neutrik_NC3FAAH-0_Horizontal,,1
NC3FAAH-0,J4,Jack_XLR_Neutrik_NC3FAAH-0_Horizontal,,1
INPUTS,J1,SHDRRA12W65P254_2X6_1758X1090X1005P,,1
470k,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
10uF,C2,CP_Radial_D6.3mm_P2.50mm,,1
10uF,C4,CP_Radial_D6.3mm_P2.50mm,,1
470k,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
470k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,1
10uF,C1,CP_Radial_D6.3mm_P2.50mm,,1
NC3FAAH-0,J3,Jack_XLR_Neutrik_NC3FAAH-0_Horizontal,,1
NC3MAAH-1,J9,Jack_XLR_Neutrik_NC3MAAH-1_Horizontal,,1
NC3MAAH-1,J6,Jack_XLR_Neutrik_NC3MAAH-1_Horizontal,,1
NC3MAAH-1,J8,Jack_XLR_Neutrik_NC3MAAH-1_Horizontal,,1
NC3MAAH-1,J7,Jack_XLR_Neutrik_NC3MAAH-1_Horizontal,,1
